"Subgroup","Level","Estimate","Low","High"
"strata","High",-9.27891183076301,-12.7920968602426,-5.76572680128337
"strata","Low",-7.06562206506464,-10.3324723227326,-3.7987718073967
"sex","Female",-7.79284266278517,-11.4304741680476,-4.15521115752276
"sex","Male",-8.50758852792628,-11.67145662151,-5.34372043434259
